留言领域,留言类型,留言内容,回复内容
政务,投诉/求助,尊敬的领导，我简单说一下目前遇到的难题，江苏省徐州市铜山区大学路枫林天下10号楼暖气入户温度从2月16左右骤降，入户水温20多度，修也修不好，也不给协商如何退费，一拖再拖。望领导百忙之中关注一下，万分感谢！,网友：您好！您的留言收悉，现将调查处理情况回复如下：一、反映的主要问题及诉求经铜山街道办事处联合龙腰山社区、小区业委会及第三方供暖公司调查：1.测温记录显示，您提及的其他楼层，室温均超过20℃，符合供暖标准（≥18℃）。2.针对您户反映问题，供暖公司多次入户测温（2025年2月16日、22日、23日、24日、25日及3月6日），测得室温在20.5℃-21℃之间，进水温度39.5℃-41.5℃，均达标。3.2025年3月8日，铜山街道组织社区、小区业委会、供暖公司和业主会面协调，但您未能提供有效低温证据，考虑到供暖期基本结束，我们将在下一个供暖期及时关注供暖温度，如达不到标准，我们将协调供暖公司统筹考虑退费问题。4.经咨询区消协，依据《徐州市集中供热条例》供热企业及热用户应订立供热合同，载明供热时间、质量、价格、计费结算方式、双方权利义务等内容。供热期间应不低于18℃，如达不到规定标准、属于供暖企业责任且整改未达标的可依据第二十四条条款进行退费，涉嫌违规的由供热行政主管部门进行监管处罚。如您能提供相关证明，我们将协助您联系消费者协会，依据双方合同约定，协商退费。如有疑问，可拨打铜山街道办事处信访科电话0516-67078312，或到华山路西18号揽山府铜山街道办事处咨询。感谢您对我们工作的帮助和支持！
教育,投诉/求助,三江口片区，从植物园山脚下的清富片区往东到下洋片区，再到梁厝片区，方圆十公里左右，没有一所在办幼儿园。目前这一区域的适龄儿童只能到城门上学，现在很多中青年人需要工作，孩子交由爷爷奶奶接送，老人孩子先得坐公交车到三江口地铁站，换成地铁到城门这边上幼儿园，十分不便，还存在安全隐患。恳请领导帮助，早日让孩子们实现就近上学的愿望。,网友：您好，欢迎通过人民网“领导留言板”留言！您留言反映的“就近上学”收悉。福州市教育局会同仓山区教育局进行了调查处理。经查，三江口片区的三江城小区配套园、清富新城小区配套园、正荣滨江府配套园均已移交给仓山区国投集团用于办学，因地基下沉原因暂未开园；新榕金江郡小区配套园于2025年1月移交仓山区政府，目前尚未确定办学主体。仓山区教育局将积极协调，力争今年9月份前在三江口片区开办一所幼儿园，统筹做好三江口片区幼儿入园问题。福州市教育局也将督促仓山区教育局急群众之所急，克服困难，积极推动三江口片区幼儿园筹设、开办工作，解决周边幼儿就近入学的问题。感谢您的关注与留言，祝您生活愉快！
文娱,投诉/求助,该公园东门演出场地“每晚”蹦迪严重扰民，自2024年12月28日至2025年2月28日，已经持续2个月，周边学生和年迈老人深受其扰。,尊敬的网友：您好！收到您的留言后，市建委高度重视，雕塑园冬季冰雪项目已于2025年3月1日结束，园区现已对相关活动设备进行拆除，对园区设施、绿化等进行维修或更换。为确保施工安全及游客人身财产安全，园区现已实施封闭管理。园区设立多处分贝监测点，根据园区噪音监测表显示活动期间噪音程度均未超过分贝限制。长春世界雕塑园将健全投诉处理机制，及时维护游客权益，提升服务与管理水平。着力打造“艺术惠民、安全有序、诚信经营”的文化地标，感谢您对长春世界雕塑园的支持及理解。
旅游,投诉/求助,尊敬的领导，您好。\r我是保定生态园的游客，现就园区禁止车辆进入一事提出以下反馈意见，希望予以重视并解决。?\r\r保定生态园位置偏远，驾车抵达后，园区外停车位不足，停车不便。许多游客携家带口，还携带大量游玩装备，而园区面积广阔，禁止车辆进入后，游客只能徒步游览，这对于老人、儿童以及携带较多物品的游客来说，游览体验大打折扣，甚至让大部分游客望而却步。?\r\r若禁止车辆进入是出于安全考虑，完全可以采取人车分流的方案，既能保障游客安全，又能方便游客出行。\r\r建议恢复开放车辆进入园区状态，让保定生态园重新焕发生机与活力。?\r\r希望相关部门充分考虑广大群众的意见和建议，尽快对该问题进行调研和处理。,您好，感谢您的留言，您反映的问题经保定市自然资源和规划局核实，现回复如下：非常感谢您对园区的关注与支持，也理解您对禁止社会车辆入园问题的关切，禁止社会车辆入园，主要出于以下方面考虑：1、保障游客安全：据不完全统计，2024年五一、十一期间，日均客流量约2万余人。园区内游客众多，车辆的往来极易造成交通安全隐患，特别是在人员密集区域，可能引发碰撞等危险情况，园区内曾发生人员与车辆、车辆之间碰撞及刮擦的安全事故。尤其对于带小孩的朋友来说，孩子在园区奔跑、游玩，能释放孩子的天性，禁止社会车辆入园，不用再担心机动车辆带来的危险，为大家提供了一个安全的游览环境。提升游园体验：车辆的行驶和停放会破坏园区的整体美感与宁静氛围，尾气排放也会影响空气质量。禁止社会车辆入园，能让您更惬意地漫步园区，沉浸式欣赏风景，大大提升游览的舒适度和满意度；2、发布相关公告：园区已于2月22日至25日连续四天，在《保定日报》刊登了关于禁止社会车辆进入园区的公告，并在市林草生态园微信公众号、园区各出入口同步发布了相关内容。警车、消防车、救护车等特种车辆在执行任务时，可随时进入园区；3、游客泊车地点：园区东门外、西门外均设有停车位，共约上千个车位且管理处设有指示路标，引导游客入位停放，能满足游客停车需求；4、园区管理处工作人员、各项目方工作人员车辆均录入门禁系统，并统一安排停放。无论是工作人员还是社会车辆均不得在园区游园道路行驶；5、自园区禁止车辆入园后，总体上入园游客较同期并未明显减少，反之，步行入园游客较同期逐渐增多，据游客反映，园区较以往更为安静，这让他们的游览体验得以提升，且园区整体环境更加优美整洁。园区设施设备使用频率并未降低，管理处对设施设备一直进行正常维护，使用频率不降反增；6、参考全国各类公园及保定市其他公园管理经验，保定市及其他公园（如植物园、竞秀公园、东风公园等）均禁止社会车辆入园，游园秩序良好，管理效果显著。自3月15日禁止社会车辆入园后，经调查，广大游客普遍反映良好，因入园游客多为老人、儿童，在更大限度地保障游客游览安全的同时，也使园区游览秩序更加规范，园区形象得到了进一步提升，更便于园区管理。下一步，管理处将进一步加大园区管理力度，正在筹备在园区东门设立正规停车场，以满足更多车辆来园参观游玩的车位需求。感谢您对我们工作的理解与支持，祝您生活愉快。
治安,投诉/求助,2025年2月24日，港龙东方城三期物业在地下车库开放式投放了鼠药，且鼠药无包装无品牌，只是贴了个警示标识，一堆一堆的散放在一张纸上，不知道这种投放方式是否合法合规，也不知道这种鼠药的毒性强弱。地库属于人流量大的公共场所，这种投放方式很容易造成儿童误食，存在安全隐患。恳请相关部门专业人员给予解答并帮助解决。,网民朋友：您好！感谢您的留言。您反映地库投放老鼠药的问题，向阳区立即办理。现将相关办理情况回复如下：向阳区物业指导中心接您反映问题后，立即联系中海物业公司，要求其针对您反映的问题进行整改，物业公司承诺，在未来的物业管理工作中，将更加注重人性化服务，提升服务意识。通过业主群广泛宣传，并在显眼位置张贴提示单，同时购买并使用“鼠饵盒”来投放老鼠药，以减少可能由此引发的安全隐患。感谢您对我们工作的理解与支持，如您再有需求，请与向阳区物业指导中心联系：0454-8571665。
环保,投诉/求助,台州市椒江大桥附近，近期每天半夜十一到十二点天天有跑车经过，声音大，噪音扰民。,尊敬的网友：　　您好！您反映的问题收悉，经调查了解，现答复如下：　　我局一大队一中队民警已经组织警力到椒江大桥附近卡点进行布控拦截，并未发现扰民的跑车。我局已部署直属一大队一中队相关岗组安排值班警力加强该路段的巡逻和管理。如您下次发现跑车扰民情况，直接拨打值班室电话（0576-89027010），告知工作人员车辆经过的时间点，我们会对该时间段的行经车辆进行排查比对，核查处理。　　感谢您对我们工作的理解和支持！　　　　　　　　台州市公安局交通警察局　　　　　　　　　　　2025年2月7日
三农,投诉/求助,我们这边停水很久了，恳请予以关注，尽快恢复。,网民朋友：您好！您的留言已收悉，现回复如下：关于您反映的停水问题，达川区大树镇党委、政府高度重视，立即组织专人会同五岭村村支两委进行现场核实。经调查，五岭村集中供水工程原取水点九里沟煤矿因在2024年大树镇“7.11”洪灾中内部通道垮塌，导致水源流失枯竭，造成五岭村1、2、3、5组供水中断。针对此问题，区级相关行业部门已于2024年10月进行现场调度，并商讨了解决方案。目前，村支两委已暂时启用老水井，保障村民日常生活用水，并安排专人负责水井的管理和维护，确保供水安全。同时经村、镇及区级相关部门研究，目前已经形成了初步的解决方案，计划对五岭村集中供水工程进行改建，从万家镇福汇煤矿处引水，过滤后并入五岭村原集中供水工程主管网。但由于工程实施还需要进一步协调推进，我们将积极争取资金和政策支持，力争早日启动供水改建工程，确保农村供水安全稳定，保障村民正常生活。感谢您对达川区大树镇人民政府工作的关心与支持！如有未尽事宜，请直接与达川区大树镇人民政府联系（0818-3255033）！达州市达川区大树镇人民政府2025年2月7日
交通,投诉/求助,我在新阳理想城b区二期买了一套房准现房还没有交工，销售说小区门前这条路已经规划，想问问何时动工何时通车。,网民您好！针对您反映的问题，经区住建局调查核实，目前，具体开工及完工时间暂无法确定。待该道路建设时机成熟，将尽快启动项目建设，具体情况已有工作人员与您沟通。感谢您对我们工作的理解与支持。
企业,投诉/求助,我是九晟的业主，从购房合同中查看到前期物业服务合同的定价依据是2016年6月12日北京*公司做的评估结论，即商办7.5元和底商9元。由于社区的物业费至今日还是延续的前期物业合同的价格，但物业服务的质量和价格严重不符，管家说是三级服务，对比同地区同时间建房的长阳站地铁口的南侧社区，也是三级服务，此社区的物业费才3.8元。如此高的价格悬殊，让我疑惑，就研究了一下。2016年在评估时，在违法时间范围内，故此前期物业服务合同的定价失去合同效力，前期物业服务合同无效。我2019年买房，开发商没有告知我这个情况，属于欺诈行为，请领导们关心下,您好，关于您反映的问题，房山区回复：经长阳镇核实，社区第一时间与九晟物业负责人核实，关于16年评估报告由北京中义恒信物业服务评估监理有限公司出具，且该公司曾于2017年受到行政处罚。根据《北京市物业服务评估监理管理办法》评估机构在资质有效期内出具的评估报告原则上合法有效。第二，关于开发商告知义务履行情况，依据《商品房销售管理办法》第13条，开发商应在售房时公示前期物业服务合同主要内容。若有证据证明开发商故意隐瞒评估公司受处罚的事实，建议向房山区市场监督管理局举报（联系电话：010-69366834），并提供购房合同、销售现场公示记录等材料。第三、关于物业费与服务标准不匹配问题，现九晟物业向广大业主提供的是三级服务标准，根据《北京市物业管理条例》规定，物业服务未达到约定标准的，业主可向属地街道提交书面投诉并附证据材料（如服务记录、现场照片、第三方评估报告等）。本单位将于收到材料后15个工作日内组织专项检查，责令物业企业限期整改，整改结果向业主公示。第四、关于现行物业费显著高于同区域同类项目（如3.8元/?O案例），根据《优化营商环境条例》第二章市场主体保护第十一条，市场主体依法享有经营自主权。对依法应当由市场主体自主决策的各类事项，任何单位和个人不得干预；建议通过司法途径主张合同问题。感谢您对我们工作的理解与支持！
医疗,咨询,因本人已不在龙岩多年，手机短信收到龙岩第一医院信息说可退门诊预交金，线上申请只有名字和手机号总是提示查无就诊卡，打医院电话总是占线，.请问下要如何查到就诊卡信息,网友：您好，欢迎通过人民网“领导留言板”留言！您留言反映的“名字不规范要如何退门诊预交金”事项，龙岩市卫生健康委员会进行了调查处理。经核实，您的两张就诊卡所预留的身份证号及电话均为同一个人，您可以按以下流程线上申请退费：微信关注【福建省龙岩市第一医院】服务号→点击【智慧服务】→【掌上医院】→【预交金退款】，选择有余额的就诊卡，点击“退款”，系统自动识别“原路退”或“转账退”。其中“原路退”只支持12个月内使用微信或支付宝充值的门诊预缴金原路退回，点击“填写申请”，填写相关信息即可。如显示“转账退”且退回到就诊人本人的，退款界面选择本人，填写银行相关信息。如为家属代办的，选择“代办”，还需上传代办人有效身份证件正、反面照片，输入您在医院预留的手机电话及验证码，提交退款申请。按提示流程完成操作即可。特别提醒：请再次核对银行账号，确保所填账号完整无误。如有疑问，请致电：龙岩市第一医院门诊收费处0597-3082006或0597-3220019。（龙岩市卫生健康委员会）
城建,投诉/求助,您好！我是太原市长风西街97号，化二建高层小区业主。该公司长期供暖水温不高，导致我们小区供热温度不高，仅仅刚够达标温度。原来我们小区供热情况很好，不知何时，也未经我们同意，就成了*热力公司来供热。恳请各位领导，百忙中对此事，予以调查研究。,网友您好！收悉您的留言后，我中心高度重视，认真研判，并按照有关规定转派至市城乡管理局办理，现将具体情况反馈如下：关于万柏林区化二建高层小区供热温度不达标问题，经了解，该小区位于长风西街97号，住户168户，由市第二热力公司化二建1#热力站供热。经核实，市第二热力公司工作人员于2025年1月4日进行入户服务，检查发现您家地暖有堵塞现象，循环不畅，回水压力小。工作人员为您清洗了入户管道过滤网后，室内温度客厅18.6℃，主卧20.4℃，厨房19℃，次卧18.7℃，符合供热标准，您表示满意。真诚地希望您继续关心太原的经济社会发展，并对相关工作予以监督，感谢您对我们工作的理解与支持！
政务,投诉/求助,我投诉淮滨县锦绣龙城小区地下人防车库违规安装地锁，违反了相关规定。,网友您好，留言已收悉。相关回复如下：1.经县人防事务中心核实，该小区地下人防车位由开发企业与小区业主签订了长期的《锦绣龙城地下车位使用协议》。协议中明确规定：第一条，该车位仅作停放小轿车使用；第六条，车辆看管责任由乙方（宫某）自行负责；第七条，若因战争因素，甲方（开发企业）有权配合政府临时收回车位使用权。目前，该小区人防工程共设有160个车位，大部分已出租。已租赁车位的业主，为避免他人占用，依据协议第六条，自行增设地桩锁，这应视为对个人使用权益的维护行为，同时避免乱停乱放、避免纠纷。2.根据相关法规，《河南省人民防空工程管理办法（河南省人民政府令第200号）》共36条，无您提到的第三十九条款。第二十七条：人防工程所在单位改制、合并、分立、破产、终止或者有其他变更情形的，应当向接收单位移交人防工程档案资料，办理人防工程维护管理交接手续，并告知人民防空主管部门。该条款主要规定了人防工程所在单位在改制、合并等情形下的档案资料移交及维护管理交接手续，其中并未明确提及“车位装锁妨碍人防工程”相关内容。另外，地下车位的租赁有利于规范小区车辆停放，实现社会资源的高效利用。3.根据《中华人民共和国消防法》第二十八条明确禁止任何单位或个人损坏、挪用、擅自拆除、停用消防设施与器材，埋压、圈占、遮挡消火栓或占用防火间距，以及占用、堵塞、封闭疏散通道、安全出口和消防车通道。特别强调人员密集场所的门窗不得设置影响逃生和灭火救援的障碍物。经县人防事务中心现场勘查，目前该小区地下车位租赁及加锁行为均未涉及消防通道，未对消防安全造成影响。感谢您的理解，祝您工作顺利，生活愉快！
教育,投诉/求助,我是今年河北*大学继续教育学院的函授本科毕业生，最近准备毕业材料的时候要求填写毕业生调查表，我一直处于待业状态，并没有正式工作，就在调查表的工作一栏如实填写。被邢老师告知不填写工作单位，没有工作单位盖章的不给毕业证，导致我现在没有办法提交毕业生材料，无法正常毕业。,网民您好！经调查核实，您所在的教学点已发布正式通知：该毕业生调查表仅需手写相关内容，没要求盖章。您所述“没有工作单位盖章的不给毕业证”是中介机构发布的虚假消息，与教学点无关。您能够于2025年6月正常毕业。相关情况已与您沟通。感谢您对我们工作的支持。
文娱,建言,建议开封市体育馆室外场馆能够对市民开放，提升广大市民热爱运动的积极性，健康强体，倡导健康生活。,网友您好！您反映的问题经开封市教育体育局办理，现将相关情况回复如下：经与留言群众沟通，其主要建议为开放开封体育中心室外田径场（地址：开封市龙亭区复兴大道与十大街交叉口西北）。经调查核实，开封体育中心目前正处于试运行设备调试阶段。目前部分室外场馆已面向市民开放，预计2025年6月底前后完成整体调试后正式全面开放。届时，室外田径场将通过分时段方式实行免费或低收费开放。欢迎您继续关注我们的工作，及时给我们提出宝贵意见和建议。
旅游,投诉/求助,大理市滨海大道维*门口摆放数十辆电动车无证出租乱摆地摊乱停乱放严重影响行人通过及滨海大道景色污染,网民同志：您好！您通过人民网领导留言板给云南省委书记的留言收悉，我们高度重视，第一时间转送相关部门开展调查核实，现将有关情况回复如下：关于您反映“鹤庆县草海镇田屯村污水处理厂周边污水外溢污染环境”的问题，经鹤庆县住房和城乡建设局核实，您反映情况属实。工作开展情况：（一）应急措施落实情况。一是源头截流。封堵农田违规排水口3处，修复破损井盖，同时函告云鹤镇人民政府加强污水井保护管理，强化源头管控。二是溢流管控。启用污水处理厂氧化塘作为调蓄池，在污水处理厂东北角的氧化塘中增加处理能力为500m3/d的两组污水处理一体化设备。县城污水处理厂厂外检查井外冒的污水经大双沟进入氧化塘，无直接排入海尾河的情况。三是环境风险防控。对溢流点周边喷洒0.1%次氯酸钠溶液病原微生物消杀；设置警示标识，消除行人滑倒风险。（二）长效治理推进。一是工程性措施。投资7500万元的城市燃气管道等老化更新改造项目，正对鹤阳路（建设路至一级路段）、建设路、云新路、花园中路等道路的地下管网进行提升改造，项目建成后将有效减少进入污水处理厂的雨水、地下水量。已编制《鹤庆县城市地下管网管廊及设施建设改造实施方案》，经省住房和城乡建设厅审查并修改完善后报县人民政府审批；《鹤庆县污水厂及配套主干管网设施设备更新改造工程》已获得发改部门批复。待项目落地后，将对黄龙路和太平中村等漏损严重路段进行改造修复。二是管理性措施。修复已发现遭破环污水井及管道，并加强日常巡查工作，函告云鹤镇人民政府关于加强辖区内污水井的保护管理。针对污水外溢影响耕种问题，已于2023年7月报请县政府同意，补助草海镇太平村、田屯村部分受影响农户共计4.53万元。下一步工作计划，一是强化处理。在污水处理厂或附近增设临时污水处理设施，对已经外溢的污水进行应急处理，减轻对周边环境的污染。可租用或购置临时一体化污水处理设备、临时增加污水处理能力。二是优化污水厂现状处理工艺。结合现场勘察情况，外溢的污水水质较为清澈，推测雨水稀释作用显著。污水处理厂应依据进水水质分析结果，优化调整处理工艺，以提高污水处理效率。三是调蓄、暂存。结合当地环保部门意见，将多余的污水临时储存于附近的氧化塘，作为调蓄池使用。待水量减少后，再将其抽送至污水处理厂进行处理并排放。感谢您对我们工作的理解与支持，祝您身体健康、生活愉快！
治安,投诉/求助,吉林市绿地国际花都.*物业不作为.业主回家困难停车困难.小学放学.家长们把车停进小区里.业主回家车辆没有地方停.等他们走我们才能停车.他们接孩子放学4点准时进院占车位.门卫放的人员不问.车辆随便说一个楼号就让进.我想知道那我们物业费交的都是管的是什么？,您好！您的留言，市委、市政府高度重视，要求承办部门核实处理，您反映的问题承办部门昌邑区政务服务和数字化建设管理局答复如下:针对您反映的问题，哈达湾街道已协调小区物业公司加大对小区出口值班值守工作，在学生上放学等特殊时间段，对出入小区车辆加大登记核查力度，对外来车辆进行登记，规范管理。详情请咨询0432-63332681。感谢您的留言，祝生活愉快！
环保,投诉/求助,1.先是去年一整年夜间施工，几乎每晚都可以获批夜间施工许可证。2.c座楼顶隔音设备损坏，未修复，噪音通过第三方检测是超标的，一直未解决。,
三农,投诉/求助,尊敬的领导，您好。首先祝您在新春佳节快乐，万事如意。我来自南宁市武鸣县府城镇新泉村那支屯的一个村民，嫁到这个屯11年了，但是这里经常会出现没有自来水可用的情况，特别是春节期间，给生活造成了很大影响。恳请帮助尽快处理。,网友您好！您向人民网“领导留言板”反映的留言已收悉，相关部门已进行调查处理。现将有关情况回复如下：接到您反映问题后，府城镇政府高度重视，立即组织相关工作人员到新泉村核实情况。经核实，新泉村那止屯供水是水厂供区最末端并且位置较高的供区，水管是新农村建设辅设的，按当时生活用水条件设计辅设，管径较小，管路长，随着生活水平提高，用水逐步增多，加上春节期间人员回来多，已经满足不了用水户需求。在春节前期，水厂已通知各村屯收费员和队长，并且已到村屯张贴通知，提醒农户要注意提前蓄水和节约用水。水厂接到农户春节期间反映出现断水现象后，随即在2025年1月29-31日期间，安排工作人员在每天晚上21时至次日8时，采取加压供水的措施，确保农户能正常用水。感谢您对我们工作的关心和支持！
交通,投诉/求助,省道s212德惠市与榆树市大桥，次桥坐落在朝阳乡与大坡镇交界，也是德惠市与榆树市大桥交界处。此桥工程属于停滞状态，2024年桥主体建成后，又处于停滞状态，工程速度慢。希望该工程可以早日完工，给一个方便的通行。,网友，您好！接到留言后，我们高度重视，第一时间安排交通局进行办理并通过电话向您反馈办理情况。针对您咨询的问题，公开答复如下：经调查，榆树半拉山松花江大桥项目路线长2.1公里，建设特大桥一座1046米，两侧引道1050米，于2020年8月开工建设，计划2023年8月完工通车。受疫情、德惠侧征地审批手续办理及部分百姓无理阻工等影响，导致工期延误。经榆树市政府和德惠市政府不断努力，2024年9月省自然资源厅批复了该工程用地，交通局立即组织施工单位优化施工组织设计，加快施工进度，抢抓工期，在2024年冬季前已完成总工程量的70%，榆树一侧桥头引道路基工程已完成，大桥主桥已合龙。剩余包括榆树侧桥头引道路面、大桥桥面铺装及德惠侧引道工程，预计2025年末完工通车。给您带来的不便深感抱歉。
企业,投诉/求助,天津寰*制造有限公司有一管状设备悬挂楼体外部，自2025年2月11日，本人确定该企业持续制造并且外放一种稳定高能的高频噪音。希望该企业负责人立刻整改，严格把控生产噪音。,尊敬的网友：您好，您在人民网的留言，反映噪声扰民的问题，天津滨海高新技术产业开发区管理委员会高度重视，立即责成相关部门核实处理，现将有关情况答复如下：收到您的留言，立即安排高新区城市管理和生态环境局工作人员进行处理。针对此情况，工作人员于2025年3月3日9时20分对该公司进行环保检查，现场检查时该单位正在进行生产，该企业噪音源为废气治理设施，负责人表示近期尽快改造。近期将对该单位进行噪音检测。上诉情况于2025年3月3日13时32分高新区城市管理和生态环境局工作人员通过电话的方式将上述办理情况答复您，您表示收悉。特此回复，感谢您对我们工作的关心与支持。
医疗,咨询,我的小孩男3.5岁。2025年新农合是在居住地汤阴缴纳的。2026年想把新农合交到广州市，小孩户籍所在地是在广州市。我在汤阴需要给小孩办理停保手续吗？线上可以办理吗,"您好！感谢您对汤阴县工作的关心和对我们的信任，您在人民网的留言已收悉。汤阴县委高度重视，现将有关情况反馈如下：经调查，监护人需要在汤阴为孩子先办理停保手续，然后再到参保地广州进行参保。城乡居民暂停参保登记可通过线上或线下办理。但因线上办理需要本人实名认证，而监护人孩子未成年无法通过网上办理。所以，孩子的监护人需到汤阴县医保窗口线下办理城乡居民暂停参保登记手续。线下办理方式所需申请材料：暂停申请人的有效身份证件（身份证、户口本或社保卡）和《城乡居民基本医疗保险参保登记表》(含新增、暂停、终止、恢复)。办理地址：汤阴县长虹路中段二楼东厅咨询电话：0372-6205584欢迎您继续关注汤阴县的工作,及时给我们提出宝贵的意见和建议。?"
城建,投诉/求助,以京广南路为分界线，京广南路以东的豫一路灯火通明，路灯特别亮，以西为浔江西路，浔江西路至大学南路段，路灯不亮，希望领导能将有关民生安全的问题抓紧解决。,
政务,咨询,请问牡丹江市振兴街道和兴隆镇的分界线是哪些？,网民朋友：您好！感谢您的留言。您咨询的牡丹江市振兴街道和兴隆镇的分界线问题，牡丹江市民政局对您咨询的问题进行了研究：目前，牡丹江市民政局高度重视您咨询牡丹江市振兴街道和兴隆镇的分界线问题，通过查阅档案资料，已查明。经查，牡丹江市东安区振兴街道和兴隆镇以003乡道、高速公路为界。感谢您对我们工作的理解与支持。如您有需要，可拨打牡丹江市民政局区划地名和社会组织管理科电话：0453-6171124。
教育,投诉/求助,建议新城区东河实验及附属学校增加师资力量，随着科技城的打造及呼市东优南拓的发展，教育水平日益提高，建议实验中学将附属学校的师资力量打造的更优质些，引进高层次高学历，全国优秀师范院校的师资力量，服务科技城板块，比如新建的实验东河二附小，可以面向全国招聘至少全日制本科以上的教师，之前东河招聘的很多都是国民教育序列的非全日制老师。学校的建设应该软硬件同步推进,网民您好，您的留言已收悉。目前，实验中学东河校区和附属小学教职工本科以上学历占比95%。今后，学校将继续加强教师队伍建设，努力构建分层分类培养体系，稳步提升教师专业能力。如有其他相关问题，请咨询市教育局工作人员，联系电话：0471-4107899。感谢您对首府教育的关心和支持，祝您生活愉快。
文娱,投诉/求助,尊敬的领导，您好。\r我是居住在曲靖市麒麟区东星小区南路二组团*幢的居民。，向您反映一个严重影响我们正常生活休息的问题，恳请政府相关部门介入调查处理。\r在我们居民楼对面的小区，开设了两家麻将馆。麻将馆营业期间几乎从每天下午至凌晨1、2点，甚至更晚，周末白天也持续噪音大)，产生巨大的噪音。\r麻将馆带来的噪音已使我们无法正常入睡，即使入睡也被惊醒，再加上散场的吵闹声，导致长期睡眠不足，严重影响工作、学习效率和身体健康。\r我们的诉求:\r1.恳请相关执法部门尽快派人到现场调查核实情况，对噪音进行监测(特别是在夜间扰民时段)。\r2.根据调查结果和法律法规，对该麻将馆的噪音扰民行为进行严肃处理，要求其立即采取有效措施进行整改(例如:加装有效隔音设施、限制夜间营业时间等)。\r3.核查该麻将馆的经营资质和场所性质:其在居民住宅楼内开设营利性麻将馆是否合法合规？是否办理了相关证照？是否属于“住改商”？是否符合消防安全要求？\r4.若该麻将馆属于无证无照经营或不符合开设条件，恳请依法予以取缔。\r希望相关部门重视并尽快解决我们的困扰，还我们一个安静的生静的生活环境。\r,网民同志:您好!您通过人民网领导留言板给麒麟区委书记的留言收悉。麒麟区南宁街道办事处高度重视，现将有关情况回复如下：工作人员依据您反映的情况对周边商铺入户排查，经核实，您反映的地点位于南宁街道瑞东社区东星小区南路二组团5至6幢一楼商铺。2025年6月4日、6月11日，瑞东社区工作人员联合南宁街道综合行政执法队、社区民警、网格员到现场找到开设麻将馆的3家老板现场查看，告知其麻将馆营业期间已造成噪音扰民，要求他们对麻将馆营业时间进行调整。在南宁街道综合行政执法队、社区民警的监管下，涉及的经营者向其保证会按照要求及时整改，对因经营麻将馆给周边居民带来的困扰表示抱歉。2025年6月16日工作人员致电给您，将上述情况告知您，您对此表示满意！感谢您对我街道工作的理解与支持，祝您身体健康、心情愉快！曲靖市麒麟区南宁街道办事处2025年6月19日
旅游,建言,领导您好。我是延吉市民宿行业经营者。目前我市旅游行业淡季、旺季明显，五一、十一、暑期等旺季客流较大，而非假期期间客流量明显下降，对民宿行业以及其他文旅相关行业经营产生一定影响。因此，希望政府在旅游淡季可以多举办一些大型文旅活动，打造具有延边文旅特色IP，吸引周边游客前来游玩，促进文旅消费，具体我有以下建议：\r\r1、举办马拉松活动：马拉松热持续，每年春季（4、5月）或秋季（9、10月）可以举办“延吉市马拉松”，规模可控制在2-3万人左右。\r2、举办专场音乐节：6、7、8月暑期的周末可举办多场音乐节，可在延吉体育场、足球公园等地举办。参考长春欧拉音乐节、未知旅行音乐节，每场可带动3-5万人参加。\r3、与省内其他城市文旅活动开展联动：“长春航空展”、“长春马拉松”、“吉林马拉松”、“查干湖冬捕”、“长白山817稻米节”等活动会吸引很多省外游客，可通过凭相关活动票据，免延边景区门票、火车票报销、发放消费券等，吸引游客来延边、延吉游玩。\r\r以上建议希望领导采纳，感谢支持民宿行业经营，希望延边州及延吉市文旅行业越来越好！\r,您好，关于您留言反映的问题，延边州委责成延吉市文化广播电视和旅游局调查处理，答复如下：李女士您好，感谢您对延吉市文旅产业发展提出的宝贵意见，我们将充分吸纳社会各界的意见建议，围绕民俗、冰雪、生态、恐龙、红色等特色文旅资源，持续推进文旅项目建设，精心谋划文旅节庆活动，积极探索文旅营销策略，全力打造特色旅游品牌，推动文旅产业高质量发展。再次感谢您对延吉市文旅产业发展的关心和支持，欢迎您多提宝贵意见。
治安,投诉/求助,尊敬的领导，您好。小区多年存在流浪狗和不文明养犬行为。,热心网友您好！首先非常感谢您对太原社会事业发展的关心。现就您所提问题答复如下：经市公安局核实：2025年3月18日社区民警联系您，针对反映的流浪狗问题，前期已组织打狗队进行捕犬，打狗队在享堂西街北二条4院1号楼10号楼附近有效捕犬三只，后续继续收集市民反映流浪狗在机车社区的集中区域，将再次组织打狗队进行打狗。同时在小区进行文明养犬宣传教育。在此，真诚希望您继续关心太原经济社会发展，并对相关工作予以监督，提出宝贵意见建议。
环保,投诉/求助,业主发现长期有人半夜唱跳扰民，经业主发现在1*栋1单元21楼居然开有直播公司，希望能把公司赶出居民楼。,网友：您好！您在网上反映的相关问题，经四川天府新区万安街道调查后，现将有关情况回复如下：经调查核实，接到您的反映后，社区工作人员与碧桂园海昌天澜物业上门进行沟通劝导，告知其不要有噪音扰民行为。如发现存在夜间扰民行为可联系万安派出所，社区会继续关注此事。2025年2月5日，四川天府新区万安街道工作人员与您取得联系，您表示对答复满意。感谢您的留言，如还有疑问，请联系四川天府新区万安街道办事处，联系电话：85611314。
